x,y,z,field_value_v_m,limit_v_m,percentage_of_limit,status
-82.000000,-99.000000,1.500000,0.720504,58.336309,1.235086,COMPLIANT
-81.000000,-99.000000,1.500000,0.723915,58.336309,1.240934,COMPLIANT
-80.000000,-99.000000,1.500000,0.727332,58.336309,1.246791,COMPLIANT
-79.000000,-99.000000,1.500000,0.730755,58.336309,1.252659,COMPLIANT
-78.000000,-99.000000,1.500000,0.734182,58.336309,1.258534,COMPLIANT
-77.000000,-99.000000,1.500000,0.737614,58.336309,1.264416,COMPLIANT
-76.000000,-99.000000,1.500000,0.741049,58.336309,1.270305,COMPLIANT
-75.000000,-99.000000,1.500000,0.744486,58.336309,1.276197,COMPLIANT
-74.000000,-99.000000,1.500000,0.747926,58.336309,1.282093,COMPLIANT
-73.000000,-99.000000,1.500000,0.751366,58.336309,1.287990,COMPLIANT
-72.000000,-99.000000,1.500000,0.754806,58.336309,1.293888,COMPLIANT
-71.000000,-99.000000,1.500000,0.758246,58.336309,1.299784,COMPLIANT
-70.000000,-99.000000,1.500000,0.761684,58.336309,1.305678,COMPLIANT
-69.000000,-99.000000,1.500000,0.765120,58.336309,1.311567,COMPLIANT
-68.000000,-99.000000,1.500000,0.768552,58.336309,1.317450,COMPLIANT
-67.000000,-99.000000,1.500000,0.771979,58.336309,1.323325,COMPLIANT
-66.000000,-99.000000,1.500000,0.775401,58.336309,1.329191,COMPLIANT
-65.000000,-99.000000,1.500000,0.778816,58.336309,1.335046,COMPLIANT
-64.000000,-99.000000,1.500000,0.782224,58.336309,1.340887,COMPLIANT
-63.000000,-99.000000,1.500000,0.785623,58.336309,1.346713,COMPLIANT
-62.000000,-99.000000,1.500000,0.789012,58.336309,1.352523,COMPLIANT
-61.000000,-99.000000,1.500000,0.792390,58.336309,1.358313,COMPLIANT
-60.000000,-99.000000,1.500000,0.795756,58.336309,1.364083,COMPLIANT
-59.000000,-99.000000,1.500000,0.799108,58.336309,1.369829,COMPLIANT
-58.000000,-99.000000,1.500000,0.802445,58.336309,1.375551,COMPLIANT
-57.000000,-99.000000,1.500000,0.805767,58.336309,1.381244,COMPLIANT
-56.000000,-99.000000,1.500000,0.809071,58.336309,1.386909,COMPLIANT
-55.000000,-99.000000,1.500000,0.812357,58.336309,1.392541,COMPLIANT
-54.000000,-99.000000,1.500000,0.815623,58.336309,1.398140,COMPLIANT
-53.000000,-99.000000,1.500000,0.818868,58.336309,1.403701,COMPLIANT
-52.000000,-99.000000,1.500000,0.822089,58.336309,1.409224,COMPLIANT
-51.000000,-99.000000,1.500000,0.825287,58.336309,1.414706,COMPLIANT
-50.000000,-99.000000,1.500000,0.828459,58.336309,1.420144,COMPLIANT
-49.000000,-99.000000,1.500000,0.831604,58.336309,1.425535,COMPLIANT
-48.000000,-99.000000,1.500000,0.834721,58.336309,1.430877,COMPLIANT
-47.000000,-99.000000,1.500000,0.837808,58.336309,1.436168,COMPLIANT
-46.000000,-99.000000,1.500000,0.840862,58.336309,1.441405,COMPLIANT
-45.000000,-99.000000,1.500000,0.843884,58.336309,1.446585,COMPLIANT
-44.000000,-99.000000,1.500000,0.846871,58.336309,1.451706,COMPLIANT
-43.000000,-99.000000,1.500000,0.849822,58.336309,1.456764,COMPLIANT
